"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","0","15","0.000000"
"","","L1","0","15","0.000000"
"","","L3","0","15","0.000000"
"","gru","L0","0","5","0.000000"
"","gru","L1","0","5","0.000000"
"","gru","L3","0","5","0.000000"
"","honeycomb","L0","0","5","0.000000"
"","honeycomb","L1","0","5","0.000000"
"","honeycomb","L3","0","5","0.000000"
"","sweagent","L0","0","5","0.000000"
"","sweagent","L1","0","5","0.000000"
"","sweagent","L3","0","5","0.000000"
"swe_bench_verified","","L0","0","15","0.000000"
"swe_bench_verified","","L1","0","15","0.000000"
"swe_bench_verified","","L3","0","15","0.000000"
"swe_bench_verified","gru","L0","0","5","0.000000"
"swe_bench_verified","gru","L1","0","5","0.000000"
"swe_bench_verified","gru","L3","0","5","0.000000"
"swe_bench_verified","honeycomb","L0","0","5","0.000000"
"swe_bench_verified","honeycomb","L1","0","5","0.000000"
"swe_bench_verified","honeycomb","L3","0","5","0.000000"
"swe_bench_verified","sweagent","L0","0","5","0.000000"
"swe_bench_verified","sweagent","L1","0","5","0.000000"
"swe_bench_verified","sweagent","L3","0","5","0.000000"
