"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","12","51","0.235294"
"","","L1","12","51","0.235294"
"","","L3","0","51","0.000000"
"","gru","L0","4","17","0.235294"
"","gru","L1","4","17","0.235294"
"","gru","L3","0","17","0.000000"
"","honeycomb","L0","4","17","0.235294"
"","honeycomb","L1","4","17","0.235294"
"","honeycomb","L3","0","17","0.000000"
"","sweagent","L0","4","17","0.235294"
"","sweagent","L1","4","17","0.235294"
"","sweagent","L3","0","17","0.000000"
"swe_bench_verified","","L0","12","51","0.235294"
"swe_bench_verified","","L1","12","51","0.235294"
"swe_bench_verified","","L3","0","51","0.000000"
"swe_bench_verified","gru","L0","4","17","0.235294"
"swe_bench_verified","gru","L1","4","17","0.235294"
"swe_bench_verified","gru","L3","0","17","0.000000"
"swe_bench_verified","honeycomb","L0","4","17","0.235294"
"swe_bench_verified","honeycomb","L1","4","17","0.235294"
"swe_bench_verified","honeycomb","L3","0","17","0.000000"
"swe_bench_verified","sweagent","L0","4","17","0.235294"
"swe_bench_verified","sweagent","L1","4","17","0.235294"
"swe_bench_verified","sweagent","L3","0","17","0.000000"
