"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","0","5","0.000000"
"","","L1","0","5","0.000000"
"","","L2","0","5","0.000000"
"","golden","L0","0","5","0.000000"
"","golden","L1","0","5","0.000000"
"","golden","L2","0","5","0.000000"
"swe_bench_verified","","L0","0","5","0.000000"
"swe_bench_verified","","L1","0","5","0.000000"
"swe_bench_verified","","L2","0","5","0.000000"
"swe_bench_verified","golden","L0","0","5","0.000000"
"swe_bench_verified","golden","L1","0","5","0.000000"
"swe_bench_verified","golden","L2","0","5","0.000000"
