task_id,benchmark_surface,repo,task_date_or_source,agent_id,candidate_id,status_L0,status_L1,primary_reason_L0,primary_reason_L1,bundle_path
Pyomo__pyomo-3588,live,Pyomo/pyomo,2025-04-30T20:00:24Z,gru,aeb947e8-19b6-57ee-9a92-8f67eddbc15e,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__Pyomo__pyomo-3588
Pyomo__pyomo-3588,live,Pyomo/pyomo,2025-04-30T20:00:24Z,honeycomb,7143b024-20fe-54e8-9d8c-f30592f77c88,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/honeycomb__Pyomo__pyomo-3588
apify__crawlee-python-1181,live,apify/crawlee-python,2025-04-29T01:30:12Z,gru,50d5443f-1fed-5cb8-84d6-a7390901ead6,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__apify__crawlee-python-1181
apify__crawlee-python-1181,live,apify/crawlee-python,2025-04-29T01:30:12Z,sweagent,71b8aa5b-207f-52e4-8b92-acacdd19a0ce,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/sweagent__apify__crawlee-python-1181
feature-engine__feature_engine-856,live,feature-engine/feature_engine,2025-04-27T14:12:01Z,gru,a2cb5911-4544-537d-8e5a-5e9573d2d256,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__feature-engine__feature_engine-856
feature-engine__feature_engine-856,live,feature-engine/feature_engine,2025-04-27T14:12:01Z,sweagent,1d5d24df-5c6e-5b20-9648-f8f141e59bb8,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/sweagent__feature-engine__feature_engine-856
fsspec__filesystem_spec-1829,live,fsspec/filesystem_spec,2025-04-26T08:04:21Z,gru,3398b6e4-f981-5494-ba05-2ee7c0932cd9,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__fsspec__filesystem_spec-1829
fsspec__filesystem_spec-1829,live,fsspec/filesystem_spec,2025-04-26T08:04:21Z,sweagent,bac80393-b2b7-515b-a2e1-6db019bdbf57,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/sweagent__fsspec__filesystem_spec-1829
jlowin__fastmcp-279,live,jlowin/fastmcp,2025-04-29T22:29:43Z,gru,c4ee1423-f811-5d8d-a285-20e24d2e733d,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__jlowin__fastmcp-279
jlowin__fastmcp-279,live,jlowin/fastmcp,2025-04-29T22:29:43Z,honeycomb,d9feeb1a-350f-5add-a2b0-98e8dca2636b,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/honeycomb__jlowin__fastmcp-279
networktocode__ntc-templates-2118,live,networktocode/ntc-templates,2025-04-29T23:34:52Z,gru,c6e378ea-da87-565e-bf48-f39258615d10,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__networktocode__ntc-templates-2118
networktocode__ntc-templates-2118,live,networktocode/ntc-templates,2025-04-29T23:34:52Z,honeycomb,144f74fb-7545-5bbb-8048-40a081b3c615,invalid,invalid,L0_OFFICIAL_INVALID,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/honeycomb__networktocode__ntc-templates-2118
networkx__networkx-8013,live,networkx/networkx,2025-04-30T13:00:18Z,gru,6d26be8a-179e-5d83-965b-5dae37d31567,pass,pass,PASS,PASS,runs/released/live_panel_v2/results_opt/gru__networkx__networkx-8013
networkx__networkx-8013,live,networkx/networkx,2025-04-30T13:00:18Z,honeycomb,fb733b52-044d-58ed-9cbd-db4b8c6da289,pass,pass,PASS,PASS,runs/released/live_panel_v2/results_opt/honeycomb__networkx__networkx-8013
pyca__cryptography-12812,live,pyca/cryptography,2025-04-27T17:23:49Z,gru,7eec372e-ca3c-5c00-9a52-852cac1d55aa,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__pyca__cryptography-12812
pyca__cryptography-12812,live,pyca/cryptography,2025-04-27T17:23:49Z,sweagent,88a20ec8-0987-5ebd-8cb6-7028c7ec1a67,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/sweagent__pyca__cryptography-12812
astropy__astropy-12907,static_anchor,astropy/astropy,2022-03-03T15:14:54Z,gru,2d8a035e-fed9-59ed-8949-d00b3027de59,pass,pass,PASS,PASS,runs/released/live_panel_v2/results_opt/gru__astropy__astropy-12907
astropy__astropy-12907,static_anchor,astropy/astropy,2022-03-03T15:14:54Z,honeycomb,f058faee-7aae-55b5-b8ce-aec104f4412f,pass,pass,PASS,PASS,runs/released/live_panel_v2/results_opt/honeycomb__astropy__astropy-12907
astropy__astropy-12907,static_anchor,astropy/astropy,2022-03-03T15:14:54Z,sweagent,c438a68f-8533-557f-96bd-9f13cdf43fdf,pass,pass,PASS,PASS,runs/released/live_panel_v2/results_opt/sweagent__astropy__astropy-12907
astropy__astropy-14096,static_anchor,astropy/astropy,2022-12-04T17:06:07Z,gru,4cb02a28-7acc-5ba6-81eb-4238273a2066,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__astropy__astropy-14096
astropy__astropy-14096,static_anchor,astropy/astropy,2022-12-04T17:06:07Z,honeycomb,f59131da-77b3-58e1-882d-98c541bff72c,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/honeycomb__astropy__astropy-14096
astropy__astropy-14096,static_anchor,astropy/astropy,2022-12-04T17:06:07Z,sweagent,39db0e56-7715-5b0c-846c-58e1f476e823,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/sweagent__astropy__astropy-14096
astropy__astropy-14309,static_anchor,astropy/astropy,2023-01-23T22:34:01Z,gru,fe479e2f-d8e8-5ff1-ab33-f90fe64853a2,fail,fail,L0_OFFICIAL_FAIL,L1_HARNESS_ERROR,runs/released/live_panel_v2/results_opt/gru__astropy__astropy-14309
