"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","8","31","0.258065"
"","","L1","8","31","0.258065"
"","gru","L0","3","13","0.230769"
"","gru","L1","3","13","0.230769"
"","honeycomb","L0","3","9","0.333333"
"","honeycomb","L1","3","9","0.333333"
"","sweagent","L0","2","9","0.222222"
"","sweagent","L1","2","9","0.222222"
"swe_bench_verified","","L0","6","15","0.400000"
"swe_bench_verified","","L1","6","15","0.400000"
"swe_bench_verified","gru","L0","2","5","0.400000"
"swe_bench_verified","gru","L1","2","5","0.400000"
"swe_bench_verified","honeycomb","L0","2","5","0.400000"
"swe_bench_verified","honeycomb","L1","2","5","0.400000"
"swe_bench_verified","sweagent","L0","2","5","0.400000"
"swe_bench_verified","sweagent","L1","2","5","0.400000"
"swe_bench_live","","L0","2","16","0.125000"
"swe_bench_live","","L1","2","16","0.125000"
"swe_bench_live","gru","L0","1","8","0.125000"
"swe_bench_live","gru","L1","1","8","0.125000"
"swe_bench_live","honeycomb","L0","1","4","0.250000"
"swe_bench_live","honeycomb","L1","1","4","0.250000"
"swe_bench_live","sweagent","L0","0","4","0.000000"
"swe_bench_live","sweagent","L1","0","4","0.000000"
