"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","0","1","0.000000"
"","","L1","0","1","0.000000"
"","","L3","0","1","0.000000"
"","","L4","0","1","0.000000"
"","golden_agent","L0","0","1","0.000000"
"","golden_agent","L1","0","1","0.000000"
"","golden_agent","L3","0","1","0.000000"
"","golden_agent","L4","0","1","0.000000"
"rust_swe_bench","","L0","0","1","0.000000"
"rust_swe_bench","","L1","0","1","0.000000"
"rust_swe_bench","","L3","0","1","0.000000"
"rust_swe_bench","","L4","0","1","0.000000"
"rust_swe_bench","golden_agent","L0","0","1","0.000000"
"rust_swe_bench","golden_agent","L1","0","1","0.000000"
"rust_swe_bench","golden_agent","L3","0","1","0.000000"
"rust_swe_bench","golden_agent","L4","0","1","0.000000"
