
running 75 tests
test decoder::tests::peeker_empty ... ok
test decoder::tests::peeker_four ... ok
test decoder::tests::peeker_one ... ok
test decoder::tests::peeker_one_at_a_time ... ok
test decoder::tests::peeker_three ... ok
test decoder::tests::peeker_two ... ok
test decoder::tests::trans_simple_auto ... ok
test decoder::tests::trans_simple_big5_hkscs ... ok
test decoder::tests::trans_simple_chinese ... ok
test decoder::tests::trans_simple_eucjp ... ok
test decoder::tests::trans_simple_gbk ... ok
test decoder::tests::trans_simple_korean ... ok
test decoder::tests::trans_simple_latin1 ... ok
test decoder::tests::trans_simple_sjis ... ok
test decoder::tests::trans_simple_utf16be ... ok
test decoder::tests::trans_simple_utf16le ... ok
test decoder::tests::trans_simple_utf8 ... ok
test decoder::tests::trans_utf16_basic ... ok
test decoder::tests::trans_utf16_bom ... ok
test decoder::tests::trans_utf16_incomplete ... ok
test printer::tests::merge ... ok
test printer::tests::spec_errors ... ok
test printer::tests::specs ... ok
test search_buffer::tests::files_without_matches ... ok
test search_buffer::tests::files_with_matches ... ok
test search_buffer::tests::basic_search ... ok
test search_buffer::tests::count ... ok
test search_buffer::tests::invert_match ... ok
test search_buffer::tests::invert_match_count ... ok
test search_buffer::tests::invert_match_line_numbers ... ok
test search_buffer::tests::invert_match_max_count ... ok
test search_buffer::tests::line_numbers ... ok
test search_buffer::tests::max_count ... ok
test search_stream::tests::after_context_invert_one1 ... ok
test search_buffer::tests::binary_text ... ok
test search_stream::tests::after_context_invert_one2 ... ok
test search_stream::tests::after_context_one1 ... ok
test search_buffer::tests::binary ... ok
test search_stream::tests::after_context_three1 ... ok
test search_stream::tests::after_context_two2 ... ok
test search_stream::tests::after_context_two1 ... ok
test search_stream::tests::basic_search1 ... ok
test search_stream::tests::before_context_invert_one1 ... ok
test search_stream::tests::before_context_invert_one2 ... ok
test search_stream::tests::before_context_one1 ... ok
test search_stream::tests::before_context_three1 ... ok
test search_stream::tests::before_context_two1 ... ok
test search_stream::tests::before_context_two2 ... ok
test search_stream::tests::before_context_two4 ... ok
test search_stream::tests::before_context_two5 ... ok
test search_stream::tests::files_with_matches ... ok
test search_stream::tests::count ... ok
test search_stream::tests::after_context_two3 ... ok
test search_stream::tests::invert_match_count ... ok
test search_stream::tests::files_without_matches ... ok
test search_stream::tests::previous_lines ... ok
test search_stream::tests::previous_lines_empty ... ok
test search_stream::tests::invert_match_max_count ... ok
test search_stream::tests::previous_lines_short ... ok
test search_stream::tests::invert_match ... ok
test search_stream::tests::max_count ... ok
test search_stream::tests::before_after_context_two1 ... ok
test unescape::tests::unescape_carriage ... ok
test search_stream::tests::binary_text ... ok
test search_stream::tests::binary ... ok
test search_stream::tests::line_numbers ... ok
test search_stream::tests::before_context_two3 ... ok
test unescape::tests::unescape_nothing_hex0 ... ok
test unescape::tests::unescape_nothing_hex1 ... ok
test unescape::tests::unescape_nl ... ok
test unescape::tests::unescape_nothing_hex2 ... ok
test unescape::tests::unescape_nul ... ok
test unescape::tests::unescape_tab ... ok
test search_stream::tests::invert_match_line_numbers ... ok
test unescape::tests::unescape_nothing_simple ... ok

test result: ok. 75 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.01s


running 124 tests
test before_context ... ok
test before_context_line_numbers ... ok
test after_context ... ok
test binary_search_mmap ... ok
test after_context_line_numbers ... ok
test case_insensitive ... ok
test binary_nosearch ... ok
test binary_search_no_mmap ... ok
test context_line_numbers ... ok
test columns ... ok
test context ... ok
test feature_159_zero_max ... ok
test feature_1_replacement_encoding ... ok
test feature_1_unknown_encoding ... ok
test feature_263_sort_files ... ok
test feature_109_case_sensitive_part1 ... ok
test feature_109_case_sensitive_part2 ... ok
test feature_1_utf16_explicit ... FAILED
test feature_1_utf16_auto ... FAILED
test dir ... FAILED
test feature_275_pathsep ... FAILED
test feature_362_dfa_size_limit ... ok
